customer_id,recency_status,monetary_status,frequency_status
12474,Recent,High Value,Frequent
12475,Needs Attention,Low Value,One-Time
12476,Recent,High Value,Frequent
12477,Recent,High Value,Frequent
12478,Recent,Low Value,One-Time
12479,Recent,Low Value,One-Time
12480,Recent,Average Value,Occasional
12481,Recent,High Value,Frequent
12483,Recent,Average Value,Frequent
12484,Needs Attention,Average Value,Occasional
12488,Recent,Average Value,Few
12489,Churned,Very Low Value,One-Time
12490,Recent,Average Value,Frequent
12491,Needs Attention,Low Value,One-Time
12492,Needs Attention,Very Low Value,Few
12493,At Risk,Low Value,Few
12494,Recent,Average Value,Frequent
12497,Needs Attention,Low Value,One-Time
12498,Recent,Low Value,Few
12500,Recent,Average Value,Frequent
12501,Churned,Average Value,One-Time
12502,At Risk,Average Value,Occasional
12504,Recent,Low Value,Few
12506,Churned,Very Low Value,One-Time
12507,At Risk,Average Value,Few
12508,Recent,Low Value,Few
12509,Churned,Very Low Value,One-Time
12510,At Risk,Low Value,Few
12512,Needs Attention,Very Low Value,Few
12513,At Risk,Low Value,One-Time
12514,Churned,Average Value,One-Time
12515,Churned,Very Low Value,One-Time
12516,Needs Attention,Average Value,Few
12517,Recent,Average Value,Occasional
12518,Recent,Average Value,Occasional
12519,Needs Attention,Very Low Value,One-Time
12520,Needs Attention,Average Value,Occasional
12521,At Risk,Low Value,One-Time
12522,Needs Attention,Very Low Value,Few
12523,Recent,Average Value,Frequent
12524,Recent,Average Value,Frequent
12526,Recent,Average Value,Few
12527,Needs Attention,Low Value,Few
12528,Recent,Average Value,Frequent
12530,Needs Attention,Average Value,Occasional
12531,Recent,Very Low Value,One-Time
12532,Recent,Low Value,One-Time
12534,At Risk,Low Value,One-Time
12535,At Risk,Low Value,Few
12536,Needs Attention,Average Value,One-Time
12538,Recent,Low Value,One-Time
12539,Recent,High Value,Occasional
12540,Recent,High Value,Frequent
12541,Recent,Low Value,Few
12544,Needs Attention,Low Value,One-Time
12545,Needs Attention,Low Value,Few
12546,Needs Attention,Average Value,Few
12547,Churned,Very Low Value,Few
12548,At Risk,Very Low Value,One-Time
12550,Needs Attention,Low Value,One-Time
12551,Churned,Very Low Value,One-Time
12552,Needs Attention,Low Value,One-Time
12553,Recent,Average Value,Frequent
12556,Needs Attention,Low Value,Few
12557,Recent,High Value,Occasional
12558,Recent,Very Low Value,One-Time
12559,Churned,Low Value,Few
12560,Recent,Average Value,Few
12561,Churned,Very Low Value,One-Time
12562,Recent,Average Value,Frequent
12564,Churned,Low Value,One-Time
12565,Churned,Very Low Value,One-Time
12566,Needs Attention,Very Low Value,One-Time
12567,Recent,High Value,Frequent
12569,Recent,Average Value,Frequent
12571,Needs Attention,Low Value,Few
12572,Recent,Low Value,Few
12573,Churned,Very Low Value,One-Time
12574,Churned,Very Low Value,One-Time
12576,Needs Attention,Average Value,Occasional
12577,Needs Attention,Low Value,Few
12578,Recent,Average Value,Few
12579,Needs Attention,Low Value,One-Time
12580,Churned,Low Value,One-Time
12581,Needs Attention,Very Low Value,One-Time
12582,Churned,Low Value,Few
12583,Recent,High Value,Frequent
12584,Recent,Average Value,Frequent
12585,Churned,Average Value,Few
12586,Recent,Very Low Value,One-Time
12587,Recent,Very Low Value,One-Time
12588,Needs Attention,Very Low Value,One-Time
12589,Recent,Low Value,Few
12590,Churned,High Value,One-Time
12591,Churned,Low Value,One-Time
12592,At Risk,Low Value,Few
12593,At Risk,Low Value,Few
12594,Needs Attention,Average Value,Frequent
12596,Needs Attention,Low Value,Few
12597,Recent,Average Value,Occasional
12598,Recent,Average Value,Frequent
12599,Recent,Low Value,Frequent
12600,Recent,Average Value,Frequent
12601,Churned,Low Value,Occasional
12602,Needs Attention,Very Low Value,One-Time
12603,Recent,Low Value,One-Time
12604,Needs Attention,Very Low Value,Few
12607,Needs Attention,Average Value,One-Time
12609,Needs Attention,Low Value,Few
12610,Recent,Average Value,Occasional
12611,Needs Attention,Average Value,One-Time
12612,Needs Attention,Low Value,One-Time
12613,Needs Attention,Average Value,Occasional
12614,Churned,Low Value,One-Time
12615,Recent,Average Value,Occasional
12616,At Risk,Low Value,Few
12617,Recent,Low Value,One-Time
12618,Recent,Very Low Value,One-Time
12619,Recent,Average Value,Frequent
12620,Recent,Average Value,Few
12621,Recent,High Value,Frequent
12622,Churned,Very Low Value,One-Time
12623,Churned,Very Low Value,One-Time
12624,At Risk,Low Value,Few
12625,Churned,Average Value,Few
12626,Recent,High Value,Frequent
12627,Recent,Average Value,Frequent
12628,Recent,Low Value,Few
12630,Recent,Average Value,Few
12631,Needs Attention,Low Value,One-Time
12633,Needs Attention,Average Value,Occasional
12635,Needs Attention,Average Value,Few
12637,Needs Attention,High Value,Frequent
12638,Needs Attention,Low Value,One-Time
12639,Churned,Low Value,One-Time
12640,Recent,Low Value,Few
12641,At Risk,Very Low Value,One-Time
12642,Recent,Low Value,Few
12643,At Risk,Average Value,Frequent
12644,At Risk,Low Value,One-Time
12645,Needs Attention,Average Value,Occasional
12646,Recent,Average Value,Few
12647,Recent,Average Value,Frequent
12648,At Risk,Low Value,One-Time
12649,At Risk,Low Value,Few
12650,Recent,Very Low Value,One-Time
12651,Churned,Very Low Value,One-Time
12652,Churned,Low Value,One-Time
12653,At Risk,Average Value,Few
12654,Recent,Low Value,Occasional
12656,Recent,Average Value,Occasional
12657,Recent,Average Value,Occasional
12658,Recent,Low Value,One-Time
12659,Recent,Very Low Value,One-Time
12660,Recent,Very Low Value,One-Time
12662,Recent,Average Value,Frequent
12664,Recent,Average Value,Frequent
12665,Churned,Very Low Value,One-Time
12667,Needs Attention,Low Value,One-Time
12668,Recent,Average Value,Occasional
12669,At Risk,Average Value,Few
12670,Recent,Average Value,Occasional
12672,Churned,Very Low Value,One-Time
12673,Recent,Low Value,Few
12674,Needs Attention,Average Value,Occasional
12676,Recent,Average Value,Frequent
12678,Needs Attention,High Value,Frequent
12679,Needs Attention,Low Value,Occasional
12680,Recent,Low Value,Occasional
12681,Recent,High Value,Frequent
12682,Recent,High Value,Frequent
12683,Recent,High Value,Frequent
12684,Recent,Average Value,Frequent
12685,Recent,Average Value,Frequent
12686,Churned,Very Low Value,One-Time
12688,At Risk,Average Value,One-Time
12689,Recent,Average Value,Few
12690,Churned,Low Value,One-Time
12691,Recent,Low Value,Occasional
12693,At Risk,Low Value,Occasional
12694,Needs Attention,Low Value,Few
12695,Recent,Low Value,Occasional
12697,Recent,Low Value,Few
12700,Recent,Average Value,Occasional
12701,Needs Attention,Low Value,Few
12702,Recent,Very Low Value,One-Time
12703,Needs Attention,Very Low Value,One-Time
12704,Recent,Average Value,Frequent
12705,Recent,High Value,Frequent
12707,Churned,Low Value,One-Time
12708,Recent,Average Value,Frequent
12709,Recent,High Value,Frequent
12710,At Risk,Average Value,Few
12712,Recent,Average Value,Frequent
12713,Recent,Low Value,One-Time
12714,Recent,Average Value,Occasional
12715,At Risk,Very Low Value,One-Time
12716,Recent,Low Value,Few
12717,At Risk,Low Value,Few
12718,Needs Attention,Very Low Value,One-Time
12719,Recent,Low Value,Few
12720,Recent,High Value,Frequent
12721,Needs Attention,Average Value,Frequent
12722,Needs Attention,Low Value,Occasional
12723,Recent,Low Value,Occasional
12724,Recent,Low Value,Occasional
12725,Churned,Low Value,One-Time
12726,Recent,Average Value,Frequent
12727,Recent,Average Value,Frequent
12728,Needs Attention,Low Value,Occasional
12729,At Risk,Low Value,One-Time
12731,Recent,High Value,Frequent
12732,At Risk,Very Low Value,One-Time
12733,Churned,Low Value,One-Time
12734,Churned,Very Low Value,One-Time
12735,Churned,Low Value,Few
12736,Churned,Very Low Value,One-Time
12738,Churned,Very Low Value,One-Time
12739,At Risk,Low Value,One-Time
12740,Needs Attention,Low Value,One-Time
12743,At Risk,Low Value,Few
12744,Needs Attention,High Value,Occasional
12747,Recent,Average Value,Frequent
12748,Recent,High Value,Frequent
12749,Recent,Average Value,Occasional
12750,At Risk,Very Low Value,One-Time
12752,Needs Attention,Average Value,One-Time
12753,Recent,High Value,Frequent
12754,Churned,Average Value,Few
12755,Churned,Average Value,Few
12756,Needs Attention,Very Low Value,One-Time
12757,Recent,Average Value,Frequent
12758,At Risk,Average Value,Few
12759,Needs Attention,Average Value,Few
12762,Recent,Average Value,Few
12763,At Risk,Low Value,Few
12764,Churned,Average Value,One-Time
12766,Recent,High Value,Frequent
12769,Churned,Average Value,One-Time
12770,Churned,Average Value,One-Time
12772,Needs Attention,Low Value,One-Time
12775,Recent,Average Value,Occasional
12778,Recent,Low Value,Frequent
12779,Needs Attention,Average Value,Frequent
12781,Needs Attention,Low Value,Few
12782,Recent,Average Value,Occasional
12783,Recent,Average Value,Occasional
12784,Recent,Low Value,One-Time
12785,Churned,Very Low Value,One-Time
12787,Recent,Low Value,Few
12789,Needs Attention,Very Low Value,One-Time
12790,Churned,Very Low Value,One-Time
12791,Churned,Very Low Value,One-Time
12792,Churned,Low Value,One-Time
12793,Churned,Low Value,Few
12794,Needs Attention,Low Value,Few
12795,Recent,Low Value,One-Time
12797,Churned,Very Low Value,One-Time
12798,Recent,High Value,Few
12802,Churned,Low Value,One-Time
12808,Needs Attention,Low Value,Few
12809,At Risk,Low Value,One-Time
12811,Churned,Low Value,Few
12812,Needs Attention,Very Low Value,One-Time
12814,At Risk,Very Low Value,One-Time
12815,At Risk,Low Value,Few
12816,At Risk,Low Value,Few
12817,Churned,Very Low Value,One-Time
12818,Churned,Average Value,One-Time
12820,Recent,Low Value,Occasional
12821,Churned,Very Low Value,One-Time
12822,Needs Attention,Low Value,Few
12823,Needs Attention,Average Value,Occasional
12824,Needs Attention,Low Value,One-Time
12826,Recent,Average Value,Frequent
12827,Recent,Low Value,Few
12828,Recent,Average Value,Frequent
12829,Churned,Very Low Value,Few
12830,Needs Attention,High Value,Frequent
12831,Churned,Very Low Value,One-Time
12832,Needs Attention,Low Value,Few
12833,At Risk,Low Value,One-Time
12834,Churned,Low Value,One-Time
12836,Needs Attention,Average Value,Occasional
12837,At Risk,Very Low Value,One-Time
12838,Needs Attention,Low Value,Few
12839,Recent,High Value,Frequent
12840,At Risk,Average Value,Occasional
12841,Recent,Average Value,Frequent
12842,Needs Attention,Average Value,Few
12843,Needs Attention,Average Value,Frequent
12844,Recent,Low Value,Few
12845,Churned,Low Value,Occasional
12847,Recent,Low Value,One-Time
12849,Recent,Average Value,Few
12851,At Risk,Very Low Value,One-Time
12852,Churned,Low Value,One-Time
12853,At Risk,Average Value,Frequent
12854,Needs Attention,Average Value,Few
12855,Churned,Very Low Value,One-Time
12856,Recent,Average Value,Frequent
12857,Churned,Average Value,Few
12863,Needs Attention,Low Value,One-Time
12864,At Risk,Very Low Value,One-Time
12865,Recent,Average Value,Few
12866,Churned,Low Value,One-Time
12867,Recent,Average Value,Frequent
12868,Churned,Average Value,Frequent
12871,Needs Attention,Low Value,Few
12872,Churned,Low Value,Few
12873,Churned,Low Value,One-Time
12875,At Risk,Low Value,Few
12876,Needs Attention,Average Value,Few
12877,Recent,Average Value,Frequent
12878,Churned,Low Value,Few
12879,Needs Attention,Low Value,Few
12881,Churned,Very Low Value,One-Time
12882,Recent,Average Value,Few
12883,Recent,Low Value,Occasional
12884,Needs Attention,Low Value,One-Time
12885,Needs Attention,Average Value,Few
12886,Needs Attention,Average Value,Few
12888,Churned,Low Value,Few
12890,Recent,Low Value,One-Time
12891,Churned,Low Value,Few
12893,Recent,Very Low Value,One-Time
12895,Needs Attention,Low Value,Few
12897,Churned,Very Low Value,Few
12901,Recent,High Value,Frequent
12902,Churned,Very Low Value,One-Time
12904,Recent,Low Value,Few
12906,Recent,Average Value,Occasional
12908,At Risk,Low Value,Few
12909,Needs Attention,Average Value,Occasional
12910,Recent,Average Value,Frequent
12912,Recent,Average Value,Occasional
12913,Recent,Average Value,Occasional
12915,At Risk,Low Value,Few
12916,At Risk,Average Value,Occasional
12917,At Risk,Low Value,One-Time
12919,Recent,Average Value,Frequent
12920,Recent,Very Low Value,One-Time
12921,Recent,High Value,Frequent
12922,At Risk,Low Value,One-Time
12923,Needs Attention,Very Low Value,One-Time
12924,Needs Attention,Low Value,Occasional
12925,Recent,Low Value,Few
12928,Needs Attention,Average Value,Occasional
12929,Churned,Very Low Value,One-Time
12930,Needs Attention,Low Value,Few
12931,Recent,High Value,Frequent
12933,Recent,Low Value,Few
12935,Recent,Average Value,Frequent
12936,Recent,Average Value,Occasional
12937,Recent,Average Value,Occasional
12938,Recent,Very Low Value,One-Time
12939,Needs Attention,High Value,Frequent
12940,Needs Attention,Low Value,Few
12942,At Risk,Low Value,Few
12944,Needs Attention,Low Value,Few
12945,Churned,Low Value,One-Time
12947,At Risk,Average Value,Frequent
12948,Recent,Average Value,Frequent
12949,Recent,Average Value,Frequent
12950,Recent,Average Value,Few
12951,Recent,Average Value,Frequent
12952,Recent,Average Value,Occasional
12953,Recent,Low Value,One-Time
12955,Recent,Average Value,Frequent
12956,Churned,Very Low Value,One-Time
12957,Recent,Average Value,Frequent
12962,Recent,Very Low Value,Few
12963,Recent,Average Value,Frequent
12965,Needs Attention,Low Value,One-Time
12966,Recent,Very Low Value,One-Time
12967,Churned,Average Value,Few
12968,At Risk,Very Low Value,One-Time
12970,Recent,Low Value,Occasional
12971,Recent,High Value,Frequent
12974,Churned,Very Low Value,One-Time
12976,Churned,Low Value,One-Time
12977,At Risk,Very Low Value,One-Time
12980,At Risk,High Value,Frequent
12981,Recent,Low Value,Few
12982,Churned,Low Value,One-Time
12984,Recent,Very Low Value,One-Time
12985,Recent,Average Value,Few
12987,Needs Attention,Low Value,Few
12988,Churned,Low Value,One-Time
12989,Recent,High Value,Frequent
12990,Recent,Low Value,Few
12991,Recent,Low Value,Few
12993,Recent,Low Value,Occasional
12994,Recent,Low Value,Few
12995,Needs Attention,Very Low Value,One-Time
12997,Recent,Average Value,Occasional
12999,Churned,Low Value,Few
13000,At Risk,Low Value,Few
13001,Recent,High Value,Frequent
13002,Churned,Very Low Value,One-Time
13003,At Risk,Very Low Value,Few
13004,Recent,High Value,Frequent
13005,At Risk,Low Value,Few
13006,Needs Attention,Very Low Value,One-Time
13008,Churned,Very Low Value,One-Time
13011,Churned,Very Low Value,One-Time
13012,Recent,Average Value,Frequent
13013,Recent,Average Value,Frequent
13014,Recent,Average Value,Frequent
13015,Needs Attention,Average Value,Occasional
13016,Needs Attention,Low Value,Few
13017,Recent,Very Low Value,One-Time
13018,Recent,High Value,Frequent
13021,Recent,Average Value,Frequent
13023,Needs Attention,Low Value,Few
13026,Recent,Low Value,Occasional
13027,At Risk,High Value,Frequent
13028,Recent,Low Value,Few
13029,Recent,Average Value,Few
13030,Recent,Low Value,Few
13032,Needs Attention,Average Value,Few
13033,Churned,Very Low Value,One-Time
13034,Needs Attention,Low Value,Few
13035,Needs Attention,Low Value,Few
13037,At Risk,Low Value,Few
13038,Needs Attention,Low Value,Few
13040,Recent,Low Value,Few
13043,Churned,Low Value,One-Time
13044,Churned,Low Value,One-Time
13045,At Risk,Low Value,One-Time
13046,Recent,Low Value,Few
13047,Needs Attention,Average Value,Frequent
13048,Recent,Average Value,Occasional
13049,Needs Attention,Low Value,Few
13050,Recent,High Value,Frequent
13052,Churned,Low Value,One-Time
13055,Needs Attention,Average Value,Few
13058,Recent,Very Low Value,Few
13059,Churned,Very Low Value,One-Time
13060,Churned,Low Value,One-Time
13061,Needs Attention,Very Low Value,One-Time
13062,Churned,Low Value,One-Time
13064,Recent,Average Value,Occasional
13065,Churned,Very Low Value,One-Time
13066,Recent,Low Value,Few
13067,Needs Attention,Very Low Value,One-Time
13068,Recent,Low Value,Few
13069,Recent,Average Value,Frequent
13070,Churned,Very Low Value,One-Time
13072,Churned,Very Low Value,One-Time
13075,At Risk,Low Value,One-Time
13077,Recent,Low Value,Occasional
13078,Recent,High Value,Frequent
13079,Recent,Very Low Value,Occasional
13080,At Risk,Very Low Value,One-Time
13081,Recent,High Value,Frequent
13082,At Risk,Average Value,Frequent
13083,Recent,Low Value,Few
13085,At Risk,Low Value,Few
13089,Recent,High Value,Frequent
13090,Recent,High Value,Frequent
13091,Recent,Low Value,One-Time
13092,Needs Attention,Low Value,Occasional
13093,Churned,High Value,Frequent
13094,Recent,Average Value,Frequent
13095,Needs Attention,Very Low Value,One-Time
13097,Needs Attention,High Value,Frequent
13098,Recent,High Value,Frequent
13099,At Risk,Very Low Value,One-Time
13101,Churned,Very Low Value,One-Time
13102,Recent,High Value,Frequent
13103,Needs Attention,Very Low Value,One-Time
13104,Recent,Average Value,Frequent
13106,At Risk,Very Low Value,One-Time
13107,Needs Attention,Average Value,Occasional
13108,Churned,Low Value,One-Time
13109,Needs Attention,Low Value,Few
13110,Recent,Average Value,Frequent
13113,Recent,High Value,Frequent
13115,Recent,Average Value,Occasional
13116,At Risk,Low Value,One-Time
13117,Recent,Low Value,Frequent
13118,Recent,Average Value,Occasional
13120,Churned,Very Low Value,One-Time
13121,Churned,Very Low Value,One-Time
13122,At Risk,Low Value,Few
13124,Needs Attention,Average Value,Few
13126,Recent,Average Value,Frequent
13127,Needs Attention,Very Low Value,One-Time
13130,At Risk,Very Low Value,One-Time
13131,Recent,Average Value,Few
13132,Churned,Very Low Value,One-Time
13133,Churned,Very Low Value,Few
13134,Needs Attention,Average Value,Occasional
13135,Churned,Average Value,One-Time
13136,Needs Attention,Average Value,Occasional
13137,Recent,Average Value,Frequent
13138,Recent,Low Value,Frequent
13139,Recent,High Value,Frequent
13140,At Risk,Low Value,Few
13141,Needs Attention,Average Value,Occasional
13142,Recent,Low Value,One-Time
13144,Churned,Very Low Value,One-Time
13145,Needs Attention,Low Value,Occasional
13146,Recent,Very Low Value,One-Time
13147,Recent,Low Value,Occasional
13148,Recent,Average Value,Frequent
13149,Recent,Average Value,Occasional
13151,Churned,Average Value,One-Time
13153,Recent,Low Value,One-Time
13155,Needs Attention,Low Value,Occasional
13157,Needs Attention,Average Value,Occasional
13158,At Risk,Average Value,Occasional
13159,Recent,Average Value,Occasional
13160,Recent,Very Low Value,One-Time
13161,Churned,Very Low Value,One-Time
13162,At Risk,Average Value,Occasional
13165,Needs Attention,Average Value,Few
13166,Churned,Low Value,One-Time
13167,Recent,Low Value,Occasional
13168,Needs Attention,Average Value,Occasional
13169,Needs Attention,Low Value,Few
13170,Recent,Very Low Value,One-Time
13171,Recent,Low Value,Few
13173,Recent,Low Value,Few
13174,Recent,Average Value,Few
13176,Needs Attention,Low Value,One-Time
13177,Needs Attention,Very Low Value,One-Time
13178,Recent,High Value,Frequent
13182,Needs Attention,Very Low Value,One-Time
13183,Recent,Average Value,Frequent
13184,Recent,Average Value,Frequent
13185,Churned,Very Low Value,One-Time
13186,Needs Attention,Average Value,Few
13187,Churned,Very Low Value,One-Time
13188,Recent,Very Low Value,One-Time
13189,Recent,Very Low Value,Few
13192,At Risk,Low Value,Few
13193,Needs Attention,Very Low Value,One-Time
13194,At Risk,Very Low Value,One-Time
13196,Recent,Average Value,Occasional
13198,Recent,Average Value,Frequent
13199,Recent,High Value,Frequent
13200,Recent,Low Value,Occasional
13203,Recent,Low Value,Occasional
13207,Recent,Very Low Value,Few
13208,Needs Attention,Average Value,Occasional
13209,Recent,High Value,Frequent
13210,At Risk,Low Value,One-Time
13211,Recent,Average Value,Few
13212,Recent,Low Value,Few
13213,Needs Attention,Average Value,Occasional
13216,Churned,Low Value,One-Time
13217,At Risk,Low Value,Few
13218,At Risk,Very Low Value,One-Time
13220,Needs Attention,Low Value,Occasional
13221,Churned,Low Value,Few
13223,Churned,Very Low Value,Few
13224,Needs Attention,Average Value,Few
13225,Recent,High Value,Frequent
13226,Churned,Very Low Value,One-Time
13227,Churned,Very Low Value,One-Time
13228,Needs Attention,Low Value,One-Time
13229,Churned,Very Low Value,One-Time
13230,Recent,Average Value,Frequent
13232,Recent,Average Value,Frequent
13233,Needs Attention,Low Value,Few
13235,Churned,Average Value,One-Time
13236,Recent,Low Value,Few
13238,Recent,Low Value,Occasional
13239,Churned,Low Value,One-Time
13240,At Risk,Low Value,Occasional
13242,At Risk,Very Low Value,Few
13243,Churned,Low Value,One-Time
13244,At Risk,Very Low Value,One-Time
13245,Needs Attention,Low Value,One-Time
13246,Recent,Average Value,Frequent
13247,Recent,Low Value,Occasional
13248,At Risk,Low Value,Few
13249,At Risk,Low Value,Few
13253,At Risk,Average Value,Few
13255,Recent,Low Value,Few
13256,Recent,Very Low Value,One-Time
13258,Recent,Low Value,Few
13259,Needs Attention,Very Low Value,One-Time
13260,Needs Attention,Low Value,One-Time
13261,Churned,Low Value,Few
13262,Churned,Very Low Value,One-Time
13263,Recent,High Value,Frequent
13265,Needs Attention,Average Value,Occasional
13266,Recent,Average Value,Frequent
13267,Recent,Average Value,Frequent
13268,Recent,Average Value,Frequent
13269,Recent,High Value,Frequent
13270,Churned,Low Value,One-Time
13271,Needs Attention,Very Low Value,One-Time
13272,Recent,Very Low Value,Few
13273,At Risk,Very Low Value,One-Time
13276,Needs Attention,Low Value,Few
13277,Recent,Very Low Value,Occasional
13278,Needs Attention,Low Value,One-Time
13279,Needs Attention,Very Low Value,One-Time
13280,At Risk,Low Value,Few
13282,Recent,Average Value,Few
13283,Needs Attention,Very Low Value,Few
13284,Churned,Very Low Value,One-Time
13285,Recent,Average Value,Occasional
13291,At Risk,Low Value,One-Time
13292,Needs Attention,Low Value,Few
13294,Churned,Low Value,Few
13295,Churned,Very Low Value,One-Time
13296,At Risk,Very Low Value,One-Time
13297,Recent,Average Value,Occasional
13298,Recent,Low Value,One-Time
13299,Churned,Very Low Value,One-Time
13300,At Risk,Low Value,One-Time
13301,At Risk,Low Value,Occasional
13302,At Risk,Very Low Value,One-Time
13304,Churned,Low Value,One-Time
13305,Recent,Average Value,Frequent
13307,At Risk,Very Low Value,One-Time
13308,Recent,Average Value,Few
13309,Recent,Average Value,Occasional
13310,Recent,Average Value,Few
13311,Recent,Low Value,Few
13313,Recent,Average Value,Occasional
13314,Recent,Low Value,Few
13316,Needs Attention,High Value,Occasional
13317,Needs Attention,Average Value,Frequent
13318,Recent,Low Value,Few
13319,Recent,High Value,Frequent
13320,Needs Attention,Average Value,Occasional
13321,Needs Attention,Low Value,Few
13322,Recent,Very Low Value,One-Time
13323,Recent,Low Value,Occasional
13324,Needs Attention,High Value,Frequent
13325,Needs Attention,Low Value,One-Time
13327,Needs Attention,Average Value,Frequent
13328,Churned,Average Value,One-Time
13329,Needs Attention,Low Value,Few
13330,At Risk,Average Value,Few
13332,Recent,Low Value,One-Time
13334,Needs Attention,Average Value,Few
13336,Needs Attention,Low Value,One-Time
13338,At Risk,Low Value,One-Time
13339,Churned,Low Value,One-Time
13340,Needs Attention,High Value,Frequent
13341,Churned,Low Value,One-Time
13343,At Risk,Low Value,One-Time
13344,Needs Attention,Average Value,Few
13345,Churned,Low Value,One-Time
13347,Needs Attention,Very Low Value,One-Time
13348,Needs Attention,Very Low Value,One-Time
13349,Recent,Very Low Value,One-Time
13350,Recent,Low Value,Few
13351,Needs Attention,Low Value,One-Time
13352,Needs Attention,Low Value,One-Time
13354,Needs Attention,Low Value,One-Time
13355,At Risk,Low Value,One-Time
13356,Needs Attention,Low Value,One-Time
13357,Churned,Low Value,One-Time
13358,Churned,Low Value,One-Time
13359,Needs Attention,Low Value,One-Time
13362,Recent,Average Value,Occasional
13363,Recent,Low Value,Few
13364,Needs Attention,Very Low Value,One-Time
13365,Needs Attention,Average Value,Few
13366,Needs Attention,Very Low Value,One-Time
13368,Churned,Low Value,Few
13369,Churned,Very Low Value,One-Time
13370,Churned,Low Value,One-Time
13372,Needs Attention,Low Value,One-Time
13373,Needs Attention,Average Value,Few
13375,Needs Attention,Low Value,One-Time
13376,At Risk,Low Value,Few
13379,Recent,Low Value,Few
13381,Needs Attention,Average Value,Frequent
13382,Churned,Very Low Value,One-Time
13384,Recent,Average Value,Frequent
13385,Churned,Low Value,One-Time
13388,At Risk,Low Value,Few
13389,Recent,Low Value,Few
13390,Needs Attention,Low Value,One-Time
13391,Churned,Very Low Value,One-Time
13394,Recent,Average Value,Frequent
13395,Churned,Low Value,One-Time
13396,Recent,Average Value,Few
